dataset_group,experiment,run,root,root_id,method,candidate_count,root_rank,top2_hit,top5_hit,acc,top_services,root_score,run_dir
sockshop_mesh_extended,el_e2,run08,payment,5,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run08
sockshop_mesh_extended,el_e2,run08,payment,5,dycause,6,,0.0,0.0,0.0,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run08
sockshop_mesh_extended,el_e2,run08,payment,5,pearson_entry_abs,6,2,1.0,1.0,0.8571,orders > payment > shipping > catalogue > carts > user,0.7738831690381545,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run08
sockshop_mesh_extended,el_e2,run08,payment,5,anomaly_z_mean_shift,6,1,1.0,1.0,1.0,payment > catalogue > user > shipping > orders > carts,1.543477743575726,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run08
sockshop_mesh_extended,el_e2,run09,payment,5,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run09
sockshop_mesh_extended,el_e2,run09,payment,5,dycause,6,,0.0,0.0,0.0,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run09
sockshop_mesh_extended,el_e2,run09,payment,5,pearson_entry_abs,6,2,1.0,1.0,0.8571,user > payment > orders > catalogue > shipping > carts,0.8499699840967366,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run09
sockshop_mesh_extended,el_e2,run09,payment,5,anomaly_z_mean_shift,6,4,0.0,1.0,0.5714,carts > catalogue > user > payment > orders > shipping,0.5274689426278234,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run09
sockshop_mesh_extended,el_e2,run10,payment,5,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run10
sockshop_mesh_extended,el_e2,run10,payment,5,dycause,6,,0.0,0.0,0.0,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run10
sockshop_mesh_extended,el_e2,run10,payment,5,pearson_entry_abs,6,6,0.0,0.0,0.2857,carts > catalogue > user > shipping > orders > payment,0.5133978716039078,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run10
sockshop_mesh_extended,el_e2,run10,payment,5,anomaly_z_mean_shift,6,4,0.0,1.0,0.5714,carts > shipping > user > payment > catalogue > orders,0.1517547999873615,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run10
sockshop_mesh_extended,el_e3,run01,payment,5,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e3\run01
sockshop_mesh_extended,el_e3,run01,payment,5,dycause,6,,0.0,0.0,0.0,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e3\run01
sockshop_mesh_extended,el_e3,run01,payment,5,pearson_entry_abs,6,2,1.0,1.0,0.8571,catalogue > payment > orders > user > shipping > carts,0.31026092447009557,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e3\run01
sockshop_mesh_extended,el_e3,run01,payment,5,anomaly_z_mean_shift,6,6,0.0,0.0,0.2857,carts > shipping > orders > user > catalogue > payment,0.026359694080851932,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e3\run01
sockshop_mesh_extended,el_e4,run01,payment,5,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e4\run01
sockshop_mesh_extended,el_e4,run01,payment,5,dycause,6,4,0.0,1.0,0.5714,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e4\run01
sockshop_mesh_extended,el_e4,run01,payment,5,pearson_entry_abs,6,2,1.0,1.0,0.8571,catalogue > payment > user > orders > carts > shipping,0.7527075772073113,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e4\run01
sockshop_mesh_extended,el_e4,run01,payment,5,anomaly_z_mean_shift,6,1,1.0,1.0,1.0,payment > user > catalogue > orders > carts > shipping,7.457869278665182,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e4\run01
sockshop_mesh_extended,el_e4,run02,payment,5,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e4\run02
sockshop_mesh_extended,el_e4,run02,payment,5,dycause,6,3,0.0,1.0,0.7143,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e4\run02
sockshop_mesh_extended,el_e4,run02,payment,5,pearson_entry_abs,6,6,0.0,0.0,0.2857,shipping > catalogue > user > orders > carts > payment,0.08869583043570477,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e4\run02
sockshop_mesh_extended,el_e4,run02,payment,5,anomaly_z_mean_shift,6,1,1.0,1.0,1.0,payment > carts > orders > user > catalogue > shipping,3.6168340316199776,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e4\run02
sockshop_mesh_extended,el_e4,run03,payment,5,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e4\run03
sockshop_mesh_extended,el_e4,run03,payment,5,dycause,6,,0.0,0.0,0.0,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e4\run03
sockshop_mesh_extended,el_e4,run03,payment,5,pearson_entry_abs,6,6,0.0,0.0,0.2857,orders > user > shipping > catalogue > carts > payment,0.23650703035504228,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e4\run03
sockshop_mesh_extended,el_e4,run03,payment,5,anomaly_z_mean_shift,6,1,1.0,1.0,1.0,payment > carts > user > catalogue > orders > shipping,4.282357227729476,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e4\run03
sockshop_mesh_extended,el_e4,run04,payment,5,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e4\run04
