case_id,dataset_group,experiment,run,root_service,entry_service,entry_index_0based,method,graph_source,root_rank,top1,top2,top5,mrr,acc,top_services,root_score,root_path_score,root_pearson_score,root_final_score,root_in_top_paths,dycause_entry_arg,entry_arg_zero_based
extended_el_e2_mesh_run05,sockshop_mesh_extended,el_e2,run05,payment,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,2,0.0,1.0,1.0,0.5,0.8571428571428571,catalogue > payment > orders > user > carts > shipping,0.4181436451419356,0.006666666666666667,0.41147697847526893,0.4181436451419356,True,1,False
extended_el_e2_mesh_run06,sockshop_mesh_extended,el_e2,run06,payment,front-end,0,dycause_entry_0based_raw,entry_index_experiment,2,0.0,1.0,1.0,0.5,0.8571428571428571,user > payment > carts > orders > catalogue > shipping,0.84909239301161,0.02,0.82909239301161,0.84909239301161,True,0,True
extended_el_e2_mesh_run06,sockshop_mesh_extended,el_e2,run06,payment,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,2,0.0,1.0,1.0,0.5,0.8571428571428571,user > payment > carts > orders > catalogue > shipping,0.82909239301161,0.0,0.82909239301161,0.82909239301161,False,1,False
extended_el_e2_mesh_run07,sockshop_mesh_extended,el_e2,run07,payment,front-end,0,dycause_entry_0based_raw,entry_index_experiment,2,0.0,1.0,1.0,0.5,0.8571428571428571,catalogue > payment > shipping > orders > user > carts,0.6463439377021817,0.0,0.6463439377021817,0.6463439377021817,False,0,True
extended_el_e2_mesh_run07,sockshop_mesh_extended,el_e2,run07,payment,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,2,0.0,1.0,1.0,0.5,0.8571428571428571,catalogue > payment > shipping > orders > user > carts,0.6463439377021817,0.0,0.6463439377021817,0.6463439377021817,False,1,False
extended_el_e2_mesh_run08,sockshop_mesh_extended,el_e2,run08,payment,front-end,0,dycause_entry_0based_raw,entry_index_experiment,2,0.0,1.0,1.0,0.5,0.8571428571428571,orders > payment > catalogue > shipping > carts > user,0.7805498357048212,0.006666666666666667,0.7738831690381545,0.7805498357048212,True,0,True
extended_el_e2_mesh_run08,sockshop_mesh_extended,el_e2,run08,payment,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,2,0.0,1.0,1.0,0.5,0.8571428571428571,orders > payment > shipping > catalogue > carts > user,0.7738831690381545,0.0,0.7738831690381545,0.7738831690381545,False,1,False
extended_el_e2_mesh_run09,sockshop_mesh_extended,el_e2,run09,payment,front-end,0,dycause_entry_0based_raw,entry_index_experiment,2,0.0,1.0,1.0,0.5,0.8571428571428571,user > payment > orders > catalogue > shipping > carts,0.8499699840967366,0.0,0.8499699840967366,0.8499699840967366,False,0,True
extended_el_e2_mesh_run09,sockshop_mesh_extended,el_e2,run09,payment,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,2,0.0,1.0,1.0,0.5,0.8571428571428571,user > payment > orders > catalogue > shipping > carts,0.8499699840967366,0.0,0.8499699840967366,0.8499699840967366,False,1,False
extended_el_e2_mesh_run10,sockshop_mesh_extended,el_e2,run10,payment,front-end,0,dycause_entry_0based_raw,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,carts > catalogue > user > shipping > orders > payment,0.5133978716039078,0.0,0.5133978716039078,0.5133978716039078,False,0,True
